BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
00:11:6B:11:7D:C7;32.10515;35.20697;yosh;Open;-95;Infra;13;-94;2017/10/26;12:20:51
00:1A:2F:7F:6B:70;32.10562;35.20506;;WPA2;-78;Infra;13;-77;2017/10/26;12:10:52
00:1A:DD:E2:DA:C4;32.10570;35.20297;afikim-wifi;Open;-91;Infra;1;-86;2017/10/26;12:05:44
00:25:86:BC:B5:DC;32.10555;35.20473;Private-140;WpaPsk;-66;Infra;13;-65;2017/10/26;12:10:30
00:25:86:CC:00:F8;32.10403;35.20683;AUC_54_R;Open;-68;Infra;5;-66;2017/10/26;12:22:27
00:25:86:CC:01:96;32.10555;35.20473;KCG_84;Open;-86;Infra;2;-85;2017/10/26;12:10:30
00:25:86:CC:07:B2;32.10403;35.20683;KCG_54;Open;-74;Infra;2;-72;2017/10/26;12:22:27
00:27:19:E3:2D:FE;32.10352;35.20720;AUC_51_3;Open;-77;Infra;9;-70;2017/10/26;12:28:45
00:27:22:F3:BB:2B;32.10549;35.20687;;Open;-92;Infra;6;-91;2017/10/26;12:13:03
00:27:22:F3:E0:D0;32.10549;35.20687;;Open;-89;Infra;6;-88;2017/10/26;12:13:03
02:02:BB:1A:F2:B9;32.10557;35.20587;REL-WIFI;Wep;-82;Adhoc;11;-81;2017/10/26;12:11:40
06:AE:DB:53:3F:A5;32.10432;35.20682;BezeqFree;WPA2;-87;Infra;6;-85;2017/10/26;12:22:04
06:AE:DB:C0:7C:05;32.10570;35.20297;BezeqFree;WPA2;-96;Infra;11;-91;2017/10/26;12:05:44
10:BE:F5:35:13:FA;32.10557;35.20587;dites;WPA2;-91;Infra;4;-90;2017/10/26;12:11:40
14:AE:DB:52:51:55;32.10543;35.20620;abadi1;WPA2;-90;Infra;1;-89;2017/10/26;12:12:15
14:AE:DB:53:3F:A5;32.10432;35.20682;bz300683;WPA2;-87;Infra;6;-85;2017/10/26;12:22:04
14:AE:DB:55:15:C5;32.10570;35.20297;BEZEQINT-15C1;WpaPsk;-97;Infra;6;-92;2017/10/26;12:05:44
14:AE:DB:C0:7C:05;32.10569;35.20297;michael;WPA2;-94;Infra;11;-89;2017/10/26;12:05:48
1C:B9:C4:14:2B:18;32.10364;35.20687;Ariel_University;Open;-66;Infra;6;-63;2017/10/26;12:23:28
1C:B9:C4:14:2B:1C;32.10368;35.20683;Ariel_University;Open;-66;Infra;36;-61;2017/10/26;12:27:32
1C:B9:C4:14:2B:A8;32.10451;35.20685;Ariel_University;Open;-84;Infra;6;-83;2017/10/26;12:21:52
1C:B9:C4:14:38:28;32.10521;35.20695;Ariel_University;Open;-84;Infra;11;-82;2017/10/26;12:13:39
1C:B9:C4:14:38:2C;32.10490;35.20709;Ariel_University;Open;-87;Infra;60;-85;2017/10/26;12:21:15
1C:B9:C4:15:36:7C;32.10344;35.20717;Ariel_University;Open;-93;Infra;52;-92;2017/10/26;12:28:33
1C:B9:C4:15:36:88;32.10368;35.20683;Ariel_University;Open;-59;Infra;11;-54;2017/10/26;12:27:32
1C:B9:C4:15:36:8C;32.10360;35.20687;Ariel_University;Open;-70;Infra;36;-66;2017/10/26;12:23:16
1C:B9:C4:15:41:F8;32.10414;35.20685;Ariel_University;Open;-82;Infra;1;-80;2017/10/26;12:22:17
1C:B9:C4:15:41:FC;32.10451;35.20685;Ariel_University;Open;-72;Infra;44;-71;2017/10/26;12:21:52
1C:B9:C4:15:44:38;32.10432;35.20682;Ariel_University;Open;-87;Infra;11;-85;2017/10/26;12:22:04
1C:B9:C4:15:44:3C;32.10451;35.20685;Ariel_University;Open;-91;Infra;36;-90;2017/10/26;12:21:52
1C:B9:C4:15:44:58;32.10509;35.20686;Ariel_University;Open;-93;Infra;11;-89;2017/10/26;12:19:15
1C:B9:C4:15:FD:68;32.10478;35.20699;Ariel_University;Open;-83;Infra;11;-81;2017/10/26;12:21:27
1C:B9:C4:15:FD:6C;32.10478;35.20699;Ariel_University;Open;-89;Infra;52;-87;2017/10/26;12:21:27
1C:B9:C4:16:04:D8;32.10403;35.20683;Ariel_University;Open;-77;Infra;11;-75;2017/10/26;12:22:27
1C:B9:C4:16:04:DC;32.10377;35.20685;Ariel_University;Open;-98;Infra;52;-96;2017/10/26;12:22:52
1C:B9:C4:16:05:38;32.10510;35.20686;Ariel_University;Open;-84;Infra;1;-79;2017/10/26;12:17:03
1C:B9:C4:16:05:78;32.10510;35.20686;Ariel_University;Open;-77;Infra;6;-73;2017/10/26;12:16:15
1C:B9:C4:16:06:38;32.10360;35.20687;Ariel_University;Open;-52;Infra;1;-48;2017/10/26;12:23:16
1C:B9:C4:16:06:3C;32.10360;35.20687;Ariel_University;Open;-56;Infra;36;-52;2017/10/26;12:23:16
1C:B9:C4:16:18:78;32.10369;35.20684;Ariel_University;Open;-51;Infra;6;-45;2017/10/26;12:25:02
1C:B9:C4:16:18:7C;32.10360;35.20687;Ariel_University;Open;-69;Infra;40;-65;2017/10/26;12:23:16
1C:B9:C4:16:28:88;32.10344;35.20717;Ariel_University;Open;-80;Infra;11;-79;2017/10/26;12:28:33
1C:B9:C4:16:28:8C;32.10344;35.20717;Ariel_University;Open;-87;Infra;48;-86;2017/10/26;12:28:33
1C:B9:C4:16:CC:A8;32.10451;35.20685;Ariel_University;Open;-80;Infra;6;-79;2017/10/26;12:21:52
1C:B9:C4:16:CC:AC;32.10414;35.20685;Ariel_University;Open;-69;Infra;44;-67;2017/10/26;12:22:17
1C:B9:C4:16:D2:88;32.10349;35.20702;Ariel_University;Open;-89;Infra;6;-88;2017/10/26;12:28:20
1C:B9:C4:16:EC:58;32.10369;35.20684;Ariel_University;Open;-54;Infra;1;-52;2017/10/26;12:23:56
1C:B9:C4:16:EC:5C;32.10369;35.20684;Ariel_University;Open;-63;Infra;44;-55;2017/10/26;12:27:08
1C:B9:C4:16:ED:F8;32.10377;35.20685;Ariel_University;Open;-81;Infra;11;-79;2017/10/26;12:22:52
1C:B9:C4:55:44:73;32.10403;35.20683;island-154470;WPA2;-74;Infra;3;-72;2017/10/26;12:22:27
1C:B9:C4:56:12:C3;32.10509;35.20685;island-1612C0;WPA2;-89;Infra;7;-85;2017/10/26;12:19:03
1C:B9:C4:94:2B:17;32.10369;35.20684;;WPA2;-73;Infra;36;-71;2017/10/26;12:23:56
1C:B9:C4:94:38:27;32.10490;35.20709;;WPA2;-87;Infra;60;-85;2017/10/26;12:21:15
1C:B9:C4:95:36:77;32.10344;35.20717;;WPA2;-95;Infra;52;-94;2017/10/26;12:28:33
1C:B9:C4:95:36:87;32.10369;35.20684;;WPA2;-81;Infra;36;-79;2017/10/26;12:23:56
1C:B9:C4:96:06:37;32.10368;35.20683;;WPA2;-67;Infra;36;-63;2017/10/26;12:27:44
1C:B9:C4:96:18:77;32.10364;35.20687;;WPA2;-73;Infra;40;-70;2017/10/26;12:23:28
1C:B9:C4:96:EC:57;32.10369;35.20684;;WPA2;-62;Infra;44;-60;2017/10/26;12:23:56
24:C9:A1:15:7C:18;32.10558;35.20548;Ariel_University;Open;-66;Infra;13;-65;2017/10/26;12:11:16
24:C9:A1:33:34:58;32.10555;35.20473;Ariel_University;Open;-68;Infra;6;-67;2017/10/26;12:10:30
24:C9:A1:35:A7:D8;32.10555;35.20473;Ariel_University;Open;-82;Infra;1;-81;2017/10/26;12:10:30
24:C9:A1:35:AA:B8;32.10432;35.20682;Ariel_University;Open;-79;Infra;1;-77;2017/10/26;12:22:04
24:C9:A1:35:B7:E8;32.10555;35.20473;Ariel_University;Open;-67;Infra;11;-66;2017/10/26;12:10:30
24:C9:A1:35:BA:18;32.10555;35.20473;Ariel_University;Open;-70;Infra;6;-69;2017/10/26;12:10:30
24:C9:A1:35:BA:28;32.10555;35.20473;Ariel_University;Open;-75;Infra;1;-74;2017/10/26;12:10:30
24:C9:A1:35:BA:C8;32.10569;35.20297;Ariel_University;Open;-79;Infra;11;-74;2017/10/26;12:05:48
24:C9:A1:35:D0:88;32.10555;35.20473;Ariel_University;Open;-73;Infra;1;-72;2017/10/26;12:10:30
24:C9:A1:35:D3:68;32.10551;35.20610;Ariel_University;Open;-87;Infra;11;-86;2017/10/26;12:12:05
24:C9:A1:35:D3:98;32.10555;35.20473;Ariel_University;Open;-91;Infra;2;-90;2017/10/26;12:10:30
24:C9:A1:36:20:38;32.10555;35.20473;Ariel_University;Open;-86;Infra;6;-85;2017/10/26;12:10:30
24:C9:A1:36:20:88;32.10557;35.20587;Ariel_University;Open;-77;Infra;6;-76;2017/10/26;12:11:40
24:C9:A1:36:2A:68;32.10557;35.20587;Ariel_University;Open;-61;Infra;11;-60;2017/10/26;12:11:40
24:C9:A1:36:4D:C8;32.10559;35.20489;Ariel_University;Open;-68;Infra;1;-67;2017/10/26;12:10:40
24:C9:A1:36:50:98;32.10556;35.20593;Ariel_University;Open;-79;Infra;6;-78;2017/10/26;12:11:52
24:C9:A1:36:51:88;32.10561;35.20523;Ariel_University;Open;-69;Infra;8;-68;2017/10/26;12:11:04
24:C9:A1:36:51:C8;32.10555;35.20473;Ariel_University;Open;-90;Infra;1;-89;2017/10/26;12:10:30
24:C9:A1:36:52:D8;32.10562;35.20506;Ariel_University;Open;-72;Infra;6;-71;2017/10/26;12:10:52
24:C9:A1:36:52:F8;32.10389;35.20678;Ariel_University;Open;-82;Infra;11;-80;2017/10/26;12:22:40
24:C9:A1:36:57:28;32.10571;35.20296;Ariel_University;Open;-96;Infra;11;-91;2017/10/26;12:05:56
24:C9:A1:36:5B:78;32.10403;35.20683;Ariel_University;Open;-82;Infra;11;-80;2017/10/26;12:22:27
24:C9:A1:55:7E:B3;32.10555;35.20473;island-157EB0;WPA2;-87;Infra;1;-86;2017/10/26;12:10:30
24:C9:A1:75:E7:E3;32.10558;35.20548;island-35E7E0;WPA2;-76;Infra;1;-75;2017/10/26;12:11:16
24:C9:A1:B5:A7:D3;32.10575;35.20295;;WPA2;-96;Infra;1;-90;2017/10/26;12:05:40
2C:5D:93:3E:F5:38;32.10559;35.20489;Ariel_University;Open;-65;Infra;11;-64;2017/10/26;12:10:40
30:E1:71:0D:E0:57;32.10349;35.20702;DIRECT-56-HP DeskJet 3630 series;WPA2;-85;Infra;6;-84;2017/10/26;12:28:20
